"codigoCentro","nroSeccion","nroCircuito","letraCircuito","nombreCircuito","nroMesa","letraMesa","fechaHora"
"ROSARIO","15","362","F","VILLA GOB GALVEZ","6355","","2015-06-15 01:35:42"
"ROSARIO","15","345","","ARROYO SECO","4541","","2015-06-15 01:31:08"
"ROSARIO","06","399","","VENADO TUERTO","1277","","2015-06-15 01:29:14"
"ROSARIO","04","384","","VILLA CONSTITUCION","899","","2015-06-15 01:25:43"
"ROSARIO","14","342","B","ROSARIO SCOM.2 N.ALBERDI","4361","","2015-06-15 01:22:22"
"ROSARIO","15","362","E","VILLA GOB GALVEZ","6288","","2015-06-15 01:20:58"
"ROSARIO","18","082","","LOPEZ","6691","","2015-06-15 01:20:42"
"ROSARIO","20","425","A","SAN LORENZO","7327","","2015-06-15 01:16:47"
"ROSARIO","14","349","B","ROSARIO SEC.19A MODERNO","5249","","2015-06-15 01:15:44"
"SANTAFE","22","268","B","PARAJE 29","7625","","2015-06-15 01:15:25"
"SANTAFE","12","285","","TOSTADO","3475","E","2015-06-15 01:15:07"
"ROSARIO","13","337","","ROSARIO SEC. 7A","4124","","2015-06-15 01:13:48"
"SANTAFE","09","012","","STA.FE (SEC. 4A)","2247","","2015-06-15 01:11:23"
"ROSARIO","14","349","B","ROSARIO SEC.19A MODERNO","5231","","2015-06-15 01:10:34"
"SANTAFE","09","011","A","STA.FE (SUB.COM. 2A)","2219","","2015-06-15 01:08:52"
"SANTAFE","07","224","","RECONQUISTA","1527","","2015-06-15 01:06:29"
"ROSARIO","15","356","A","BARRIO CABIN NUEVE","5818","","2015-06-15 01:02:55"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5083","","2015-06-15 01:02:51"
"ROSARIO","15","356","A","BARRIO CABIN NUEVE","5813","","2015-06-15 01:02:45"
"ROSARIO","06","399","","VENADO TUERTO","1390","","2015-06-15 01:00:34"
"ROSARIO","13","320","","ROSARIO SEC. 2A","3800","E","2015-06-15 01:00:09"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5081","","2015-06-15 00:57:36"
"ROSARIO","15","362","A","VILLA GOBERNADOR GALVEZ","6175","","2015-06-15 00:56:25"
